,bedroom,locality,price,area,bathroom
0,1,Mundhwa,6750,450,1
1,2,Wakad,18000,916,2
2,3,Wagholi,16500,1085,3
3,1,Kothrud,8000,250,1
4,2,Yerawada,25000,1005,2
5,1,other,11000,600,1
6,2,Pimple Saudagar,17000,900,2
7,2,Hinjewadi,13500,900,3
8,1,Dhanori,3500,200,1
9,1,Nigdi,12000,1000,1
10,2,Hinjewadi,12000,850,2
11,1,Bopkhel,6500,500,1
12,3,Viman Nagar,20000,1210,2
13,1,Dhayari,8000,500,1
15,3,Chakan,9500,1278,2
16,1,Wagholi,6500,750,1
17,1,Chinchwad,8000,315,1
18,2,Viman Nagar,45000,1200,3
19,3,Kharadi,35000,1275,3
20,2,Wakad,17000,1000,2
21,1,Wagholi,7500,520,1
22,2,Kalyani Nagar,30000,929,2
23,2,Ravet,15000,660,2
24,1,Wakad,14000,600,1
25,1,Kharadi,9000,650,1
26,1,Kothrud,13000,650,1
27,1,Lohegaon,8000,650,1
28,1,Mundhwa,4000,350,1
29,2,Pimple Saudagar,24000,1080,2
30,1,Parvati Darshan,12000,350,1
31,2,Chikhali,9000,675,1
32,2,Baner,17400,1100,2
33,2,Kothrud,18000,1000,2
35,2,Wakad,18500,1026,2
36,1,Pimple Gurav,9500,650,1
37,1,Wakad,16500,630,1
38,1,Bhosari,8000,550,1
39,1,Lohegaon,6800,450,1
40,2,Undri,10000,900,2
41,1,Dighi,4500,350,1
42,1,Kharadi,11000,620,1
43,2,Sus,12000,900,2
44,1,Wagholi,8100,610,1
45,2,Wagholi,20000,1100,2
46,1,Pimple Gurav,9500,630,1
47,2,Wakad,19000,1000,2
48,1,Hadapsar,6000,550,1
49,2,Kothrud,35000,1200,2
50,1,Hinjewadi,9000,500,2
51,1,Kharadi,12500,450,1
52,1,other,9500,620,1
53,2,Dhanori,17000,851,2
54,3,Wagholi,16000,1080,3
55,1,Nigdi,8100,602,1
56,2,Tathawade,14500,942,2
57,2,Wakad,18500,975,2
58,2,other,15000,900,2
59,1,Karve Nagar,3500,500,2
60,3,Chinchwad,21000,1250,3
61,2,Hinjewadi,17500,950,2
62,2,Bavdhan,16000,993,2
63,2,Wakad,31000,900,2
64,1,Hinjewadi,12000,600,1
65,2,Warje,14000,1000,2
66,2,Kondhwa,13500,1068,2
67,2,Manjari,10000,860,2
68,2,Wagholi,15000,1120,2
69,2,Daund,13500,819,1
70,2,Manjari Budruk,25000,2000,2
71,1,Manjari,12500,650,1
72,2,Chikhali,9000,630,1
73,2,Dhanori,13000,1000,2
74,1,Pimple Gurav,10000,600,1
75,3,Ravet,25000,1600,3
76,1,other,7000,425,1
77,3,Chinchwad,18000,1500,3
78,2,Hinjewadi,14000,1375,2
79,1,New Sangavi,11000,580,1
80,1,Pimpri,8500,270,1
82,1,Lohegaon,7000,600,2
83,3,Baner,27000,1700,3
84,2,Mundhwa,10500,950,2
85,2,Alandi,12000,825,2
86,2,Mundhwa,9000,900,2
87,1,Alandi,8000,850,1
88,4,Gahunje,50000,2500,4
89,1,Wagholi,7000,700,1
90,1,Hinjewadi,13500,678,1
91,2,Hinjewadi,14000,780,2
92,1,Wadgaon Sheri,11000,550,1
93,1,Manjari Budruk,6800,550,1
94,2,Baner,17000,891,2
95,2,Hadapsar,16000,820,1
96,2,Lohegaon,14500,1186,2
97,2,Hadapsar,18000,1060,2
98,2,Baner,17500,1050,2
99,3,Sopan Baug,35000,1500,2
100,3,Wagholi,16500,1080,3
101,3,Wagholi,16500,1080,3
102,3,Wagholi,16000,1080,3
103,3,Wagholi,16500,1080,3
104,3,Wagholi,16500,1085,3
105,1,Kothrud,8000,250,1
106,1,Nigdi,12000,1000,1
107,1,Nigdi,12000,1000,1
108,2,Pimple Saudagar,17000,925,2
109,1,Nigdi,12000,1000,1
110,2,Hinjewadi,13500,900,3
111,2,Pimple Saudagar,17000,900,2
112,2,Pimple Saudagar,17000,900,2
113,2,Pimple Saudagar,17000,900,2
114,2,Pimple Saudagar,17000,900,2
115,2,Pimple Saudagar,17000,900,2
116,2,Pimple Saudagar,17000,900,2
117,2,Pimple Saudagar,17000,900,2
118,1,Katraj,2000,200,1
119,1,Dhanori,3500,200,1
120,1,Dhanori,3500,200,1
121,1,Dhanori,3500,200,1
122,1,Dhanori,3500,200,1
123,3,Chakan,9500,1278,2
125,2,Pimple Nilakh,14650,950,2
126,2,Pimple Nilakh,14650,950,2
127,2,Pimple Nilakh,15650,950,2
128,2,Pimple Nilakh,15650,950,2
129,2,Pimple Nilakh,18000,950,2
130,2,Pimple Nilakh,18000,950,2
131,1,Wagholi,6500,750,1
132,2,Viman Nagar,45000,1200,3
133,2,Viman Nagar,45000,1200,3
134,2,Viman Nagar,45000,1200,3
135,2,Wakad,18500,916,2
136,3,Chakan,9500,1270,2
137,3,Kharadi,35000,1275,3
138,3,Chakan,9500,1270,2
139,3,Kharadi,35000,1275,3
140,2,Wakad,18500,916,2
141,3,Chakan,9500,1270,2
142,3,Kharadi,35000,1275,3
143,3,Chakan,9500,1270,2
144,3,Kharadi,35000,1275,3
145,1,Chinchwad,8000,315,1
146,3,Chakan,9500,1270,2
147,2,Wakad,18500,916,2
148,3,Chakan,9500,1270,2
149,2,Wakad,18500,916,2
150,3,Chakan,9500,1270,2
151,3,Kharadi,35000,1275,3
152,3,Kharadi,35000,1275,3
153,3,Chakan,9500,1270,2
154,3,Kharadi,35000,1275,3
155,2,Wakad,17000,1000,2
156,1,Wagholi,7500,520,1
157,1,Wagholi,7500,540,1
158,1,Mundhwa,4000,350,1
159,1,Mundhwa,4000,350,1
160,1,Mundhwa,4000,350,1
161,1,Mundhwa,4000,350,1
162,1,Mundhwa,4000,350,1
163,1,Mundhwa,4000,350,1
164,1,Mundhwa,4000,350,1
165,1,Mundhwa,4000,350,1
166,1,Mundhwa,4000,350,1
167,1,Mundhwa,4000,350,1
168,1,Mundhwa,4000,350,1
169,1,Mundhwa,4000,350,1
170,2,Wakad,18500,1026,2
171,2,Wakad,18500,1026,2
172,1,Pimple Gurav,9500,650,1
173,1,Pimple Gurav,9500,650,1
175,2,Undri,10000,900,2
176,2,Undri,10000,900,2
177,1,Wakad,16500,630,1
178,1,Wakad,16500,630,1
179,1,Wakad,16500,630,1
180,1,Wakad,16500,630,1
181,1,Wakad,16500,630,1
182,1,Wakad,16500,630,1
183,1,Wakad,16500,630,1
184,2,Hinjewadi,13500,950,3
185,2,Wagholi,20000,1100,2
186,2,Wagholi,20000,1100,2
187,2,Wagholi,20000,1100,2
188,2,Wagholi,20000,1100,2
189,2,Wagholi,20000,1100,2
190,2,Wagholi,20000,1100,2
191,2,Wagholi,20000,1100,2
192,2,Wagholi,20000,1100,2
193,1,Hadapsar,6000,550,1
194,1,Chikhali,8500,573,1
195,1,Chikhali,8500,573,1
196,1,Chikhali,8500,573,1
197,1,Chikhali,8500,573,1
198,1,Chikhali,8500,573,1
199,1,Chikhali,8500,573,1
200,1,Chikhali,8500,573,1
201,1,Chikhali,8500,573,1
202,1,Chikhali,8500,573,1
203,1,Chikhali,8500,573,1
204,1,Chikhali,8500,573,1
205,1,Chikhali,8500,573,1
206,1,Chikhali,8500,573,1
207,1,Chikhali,8500,573,1
208,1,Chikhali,8500,573,1
209,1,Chikhali,8500,573,1
210,1,Chikhali,8500,573,1
211,1,Chikhali,8500,573,1
212,1,Chikhali,8500,573,1
213,1,Chikhali,8500,573,1
214,1,Chikhali,8500,573,1
215,1,Chikhali,8500,573,1
216,1,Chikhali,8000,573,1
217,1,other,11000,600,1
218,1,Anand Nagar,9000,620,1
219,1,Wagholi,7500,550,1
220,1,Wagholi,7500,550,1
221,3,Bavdhan,22000,1532,3
222,2,Bavdhan,15000,1100,2
223,2,other,16000,1015,2
224,2,Wakad,31000,900,2
225,2,Wakad,31000,900,2
